latitude	longitutde
32.85918106	-79.95111618
47.70552506	-94.24201221
47.69468139	-94.22481486
48.94099387	-122.1399653
48.94103892	-122.1400248
48.94100855	-122.1400762
48.94097319	-122.1400773
48.94099127	-122.139995
48.94117789	-122.1396851
48.9407036	-122.1423333
48.93968598	-122.1439496
48.93965793	-122.1439408
48.94633352	-122.1505322
48.94818161	-122.1526892
48.93963188	-122.143883
48.99852038	-122.7536446
48.99675863	-122.751173
48.99197021	-122.7516363
48.99119738	-122.7516288
48.99942559	-122.751966
48.99332467	-122.5352086
48.99685058	-122.7524864
48.99335487	-122.5234137
48.99625754	-122.752026
48.95264561	-122.1551271
48.99335021	-122.5366865
48.99346547	-122.6455743
48.99332445	-122.5470606
48.99607364	-122.7531309
48.99542024	-122.7507983
48.99333141	-122.538545
48.99331632	-122.5408286
48.99332862	-122.5291177
48.99333202	-122.5278693
48.9933339	-122.5294814
48.9933335	-122.5266792
48.9933332	-122.5274742
49.01779861	-122.7639879
42.44925123	-94.43993511
39.04410994	-78.37842549
39.07558032	-78.4137509
39.05573388	-78.72079842
39.10037234	-78.83779258
39.05175614	-78.74449559
39.07393057	-78.40799763
39.07904105	-78.39278731
39.07013123	-78.62128951
39.09105549	-78.49810238
39.08253757	-78.59305619
36.07460099	-95.87788025
36.0738346	-95.88085637
36.07360323	-95.88094742
36.16170736	-95.76279569
36.07383936	-95.88088165
36.09697607	-95.85976485
36.08487947	-95.85899139
42.30619678	-93.56995354
42.23237654	-93.57064286
42.32055427	-93.57011756
42.20624452	-93.57062355
42.37220309	-93.57019936
42.44899691	-93.65061906
42.44747723	-93.57336284
42.40087083	-93.57032363
42.44889075	-93.63085846
42.44904968	-93.64843062
42.44896284	-93.72958002
42.44943813	-93.83051517
42.44901352	-93.73973362
42.44972211	-93.86903389
42.44887939	-93.73923851
42.44950522	-93.8131382
42.44770787	-94.20469399
42.4462045	-94.13719923
42.44878595	-94.21062252
42.44890968	-94.05171157
42.44700545	-94.14489791
42.44927647	-94.00631196
42.44922709	-94.02238063
42.44950742	-94.31853442
42.45002946	-94.30845737
42.449002	-94.23130416
42.45021831	-94.29022697
42.44949782	-94.34944047
42.00615995	-93.59168699
42.01479491	-93.5714309
42.11325583	-93.5598147
42.05259224	-93.56945985
42.12887727	-93.5635942
42.06146455	-93.56857523
42.12066356	-93.556575
42.02225251	-93.57122995
42.01946191	-93.57400373
42.00572765	-93.6018235
42.00943363	-93.57530183
42.00574564	-93.59737174
42.00511675	-93.60942909
42.00637169	-93.59049346
42.00426695	-93.61549132
42.01242168	-93.58231329
42.0210661	-93.57115066
42.01895603	-93.624651
42.0134716	-93.623441
42.01387569	-93.616831
42.00680421	-93.60846924
42.44943741	-94.77302176
37.44978086	-88.44772571
42.44343737	-96.07733601
38.98550736	-79.2355908
39.10192251	-78.8188511
39.0574209	-78.78374907
39.1009352	-78.81531984
42.12463342	-96.13615988
42.1242211	-86.37136245
37.5932043	-80.47173543
37.59401871	-80.4727569
36.7923224	-81.40084801
39.03327111	-78.37778821
39.08444386	-78.52061136
39.09858829	-78.45072264
39.07324331	-78.63916577
39.04443264	-78.71086497
39.04511576	-78.73465687
39.08445563	-78.42876947
39.07579943	-78.59641235
38.48667432	-81.1281065
38.88615675	-80.29735546
39.09486044	-79.78056524
38.48628937	-81.11432435
38.48380658	-81.15403662
38.49115655	-81.21993063
38.48350791	-81.25804261
38.48393707	-81.28740066
38.03253648	-81.36053197
38.85470425	-80.31462507
38.83388919	-80.34619365
38.92284266	-79.5255981
38.89833761	-79.54858276
39.00467061	-80.34768787
39.00602433	-80.37769088
39.00568623	-80.37803192
39.04022451	-78.38210851
39.08291152	-78.42333061
39.07587908	-78.41674505
39.09784616	-78.48207239
39.10013193	-78.47712626
39.07924845	-78.6029607
39.08204616	-78.55846352
39.08507779	-78.54020425
38.99703258	-79.21015798
39.04898324	-78.75180352
39.09569368	-78.80853528
39.06036438	-78.78712713
39.05467122	-78.69711976
42.48772647	-96.07478774
42.49095416	-96.07303587
42.41574062	-96.0782274
42.43207619	-96.07736962
37.45093135	-88.33946017
37.40900811	-81.46902122
38.48343035	-81.15865857
38.49848969	-81.19562804
38.84485993	-81.90893659
38.84353382	-81.91177413
38.93352502	-81.7116539
38.4823393	-81.28735128
38.50606028	-81.23368303
38.49249213	-81.22764132
38.48872126	-81.25555628
38.50021225	-81.2294992
38.48666504	-81.25759498
38.86263407	-80.31359585
38.84914693	-80.31789455
38.83952408	-80.33954229
39.09277353	-79.78436297
39.08993237	-79.79686797
39.08855684	-79.72299972
39.09388384	-79.78325511
38.91969822	-79.52605065
38.91714862	-79.51407581
39.00448833	-80.37941073
39.00276145	-80.38565223
37.40548053	-81.46467843
38.79428279	-75.6935792
38.88566402	-77.05877299
38.99887551	-76.3964457
39.01265766	-76.49490607
38.79944878	-77.07883586
38.70858259	-77.11534338
38.80211401	-77.51298993
37.50707092	-77.10279343
37.50397466	-77.08564768
37.5539351	-77.40337924
37.49098536	-76.99203623
37.33200229	-80.68312481
37.93168548	-79.22865336
37.24999384	-80.03681069
37.31508954	-79.95947995
37.31114469	-79.96958064
37.32977887	-79.99162517
37.40024095	-79.89834163
37.04225354	-79.87572897
37.26398267	-79.94126628
37.30490957	-79.97931979
37.30749671	-79.97688349
37.30719473	-79.97636428
37.31375587	-79.96531622
37.27633903	-79.92627432
37.29439539	-79.92948975
38.45029158	-78.84602912
38.89587248	-77.43561712
38.89568394	-77.43515357
38.85342257	-77.79885063
